69 173 16
165245 84392 162956 151082 138599 93100 107599 108332 66957 220728 143715 134510 176587 248802 164755 164817 371920 384654 380073 127792 117884 308681 184661 60942 72458 153834 422330 187990 169046 79538 73090 58710 98255 148831 134751 44355 113787 93123 84364 72193 83144 46106 47983 69295 91520 59360 60829 67352 86385 43025 61952 86126 60162 43903 15613 24305 34133 32399 37338 4575 28383 49596 16617 22496 43535 42449 4437 2942 1017
1 2
1 6
1 7
1 16
1 15
1 13
2 6
2 3
2 13
3 22
3 49
3 55
3 4
3 13
3 6
4 48
4 49
4 5
4 6
5 48
5 52
5 58
5 6
5 10
6 10
6 9
6 7
7 9
7 8
7 16
8 9
8 12
8 16
9 10
9 11
9 12
10 52
10 58
10 59
10 11
11 59
11 60
11 37
11 12
12 37
12 16
12 14
13 20
13 22
13 41
13 53
13 15
14 37
14 38
14 44
14 45
14 54
14 16
15 45
15 53
15 16
16 45
17 23
17 36
17 46
18 23
18 27
18 28
18 29
18 30
18 36
18 66
19 33
19 35
19 43
19 48
19 49
20 22
20 27
20 41
20 53
21 25
21 32
21 42
21 61
21 62
21 65
22 31
22 34
22 55
23 30
23 36
24 47
24 52
24 59
25 28
25 29
25 42
26 27
26 28
26 38
26 40
26 42
26 44
26 51
26 54
26 62
27 28
27 36
27 40
27 45
27 51
27 53
27 67
28 29
28 40
28 42
29 30
29 66
30 66
31 34
31 56
31 57
32 39
32 61
32 64
32 65
33 34
33 43
33 56
33 57
34 43
34 49
34 55
34 56
35 47
35 48
35 52
36 67
36 68
37 38
37 39
37 62
38 44
38 62
39 61
39 62
41 53
42 62
43 49
44 54
45 51
45 53
45 54
47 50
47 52
47 59
48 49
48 52
49 55
50 59
50 60
51 54
52 58
52 59
56 57
59 60
61 62
63 64
64 65
67 68
67 69
68 69
