37 77 5
72804 134446 180345 67972 75069 43437 160656 54546 266936 94642 81526 94927 34096 25441 49820 39237 57418 77201 40765 30383 47625 188047 40696 51492 34483 54851 28509 14259 7705 11227 9965 4113 7767 8989 4380 5144 353１ 2
１ 4
１ 12
１ 23
１ 28
2 3
2 4
3 4
3 7
3 24
4 5
4 6
4 7
4 23
5 6
5 21
5 23
5 30
6 7
6 8
6 10
6 14
6 30
7 8
8 9
8 18
8 29
9 10
9 11
9 13
9 15
9 16
9 18
9 25
9 29
9 32
9 35
10 14
10 16
10 18
10 21
10 25
10 31
11 15
11 22
11 32
11 35
12 23
12 27
12 28
12 31
13 15
13 25
14 21
14 30
15 22
15 25
15 26
15 33
15 34
17 27
17 36
17 37
18 29
19 20
19 22
20 22
21 23
21 30
21 31
22 24
23 31
25 26
26 33
27 36
33 34
