59 144 4
282693 117376 327692 332931 59491 74992 44760 34865 53557 35169 59005 58240 30236 11459 8639 12170 8900 12318 5194 5264 504 4044 14451 2556 5770 3322 13552 15068 3081 3081 1452 1862 1246 19014 20808 6213 4885 17287 13343 5392 8302 3049 14644 6392 5826 6036 4825 17018 9471 5412 3710 2128 2044 847 5823 1923 420 7905 1318
1 9
1 12
1 14
1 16
1 27
2 3
2 7
2 19
2 20
2 26
2 27
2 28
2 29
2 34
3 6
3 9
3 10
3 13
3 17
3 19
3 27
3 45
3 48
3 49
4 10
4 42
4 45
4 47
4 49
4 50
4 51
4 53
5 19
5 35
5 36
5 37
5 38
5 39
5 43
5 46
6 18
6 19
6 44
6 45
7 24
7 25
7 26
7 28
7 29
8 11
8 12
8 58
8 59
9 10
9 13
9 16
9 17
9 27
9 48
9 56
9 57
10 48
10 49
10 53
10 54
10 56
10 57
11 56
11 59
12 14
12 15
12 16
12 59
13 17
13 48
14 15
16 56
16 59
18 19
18 38
18 44
19 20
19 35
19 38
20 23
20 33
20 34
20 35
21 22
21 23
22 23
22 32
22 33
23 33
24 26
24 27
25 28
25 30
25 32
26 27
28 29
28 30
28 34
30 31
30 32
30 33
30 34
31 32
31 33
32 33
33 34
36 37
36 38
37 38
37 43
38 43
38 44
39 40
39 41
39 42
39 46
40 41
41 42
42 43
42 46
42 47
43 44
43 45
43 46
43 47
44 45
45 47
45 49
50 51
51 52
51 53
52 53
52 54
53 54
54 55
54 56
55 56
56 57
56 59
